model,mean_rmsle,std_rmsle,fold_scores
ridge,0.27880526908056324,0.005208682228270491,"[0.27372437843699715, 0.2781286159400697, 0.2746179225864849, 0.2883817478634882, 0.2791736805757761]"
random_forest,0.2846449272319315,0.006393220493204221,"[0.275772179854699, 0.2877491478098918, 0.28288998907396434, 0.29491140565244317, 0.2819019137686593]"
extra_trees,0.28700135402181315,0.0066314407605558125,"[0.27680911483361154, 0.2874588695786538, 0.2923656184731423, 0.29541005462178754, 0.2829631126018708]"
xgboost,0.3059429167211466,0.0070845443933482905,"[0.29752869734193454, 0.30859144775635605, 0.2981033614564395, 0.31583827908413814, 0.30965279796686485]"
